timestamp,txn_id,name,account_number,account_type,mobile_number,pincode,narration,trans_type,amount,ip_address,device,receiver_account,is_fraud,fraud_type,risk_score,account_age_days,receiver_name,receiver_pincode,velocity_l6h,churn_rate,ip_account_density
2025-06-01 11:18:00,5E295FD7,Vijay Kumar,SB83197857,Salary,9331191390,603202,Subscription fee,Mobile Banking,24737.2,103.198.75.253,ATM Terminal,SB77827638,0,Normal,17.1,630,Priya Sharma,560001,1.0,0.137,13
2025-06-01 20:43:00,DFA6789D,Madhavi Latha,SB89089901,Savings,9692749116,602001,Insurance premium,Net Banking,32227.61,103.12.170.59,Vivo V25,SB13999315,0,Normal,9.0,465,Anjali Gupta,400001,1.0,0.126,7
2025-06-01 23:35:00,8E32B42A,Jaya Devi,SB77827638,Joint,9748245888,600002,Rent payment,Net Banking,45690.03,103.63.42.119,Samsung S23,SB85329037,0,Normal,25.8,156,Priya Sharma,400001,1.0,0.406,10
2025-06-02 06:37:00,1960AEF0,Manoj Patel,SB89254563,NRI,9461415646,600028,Subscription fee,ATM Withdrawal,855.95,103.221.93.148,OnePlus 11,SB13356886,0,Normal,27.6,547,Karan Malhotra,600002,1.0,0.496,14
2025-06-02 16:05:00,BA97D1C5,Senthil Kumar,SB85329037,NRI,9146654552,600028,Medical expense,NEFT,22955.47,103.21.219.60,Laptop-Chrome,SB21668732,0,Normal,23.0,463,Arun Singh,600001,1.0,0.32,6
2025-06-02 17:36:00,7BC4C503,Anitha Reddy,SB23756669,Savings,9266944844,600028,Monthly salary credit,NEFT,16027.78,103.198.75.253,Desktop-Firefox,SB97226012,0,Normal,10.1,906,Arun Singh,700001,1.0,0.205,13
2025-06-02 17:51:00,6E052FA2,Vinoth Kumar,SB70291817,Salary,9184611066,600096,Insurance premium,Online Transfer,10943.65,103.84.216.197,Laptop-Chrome,SB28728463,0,Normal,21.4,290,Priya Sharma,700001,1.0,0.38,7
2025-06-02 18:44:00,11F85FD7,Vijay Kumar,SB83197857,Salary,9331191390,600028,Amazon purchase,NEFT,47552.48,103.240.175.166,Samsung S23,SB36687537,0,Normal,14.2,630,Karan Malhotra,400001,1.0,0.363,9
2025-06-02 22:53:00,26942213,Deepa Krishnan,SB39958838,Joint,9465341213,601302,Electricity bill,Mobile Banking,48125.5,103.95.91.54,iPhone 14,SB95822412,0,Normal,12.5,697,Karan Malhotra,400001,1.0,0.418,10
2025-06-03 00:06:00,8D19DED4,Vijay Kumar,SB83197857,NRI,9331191390,600096,Loan EMI,Mobile Banking,39428.19,103.44.137.187,iPhone 13,SB41227216,0,Normal,7.9,630,Priya Sharma,110001,2.0,0.138,8
2025-06-03 04:18:00,20435A49,Lakshmi Iyer,SB21668732,Savings,9919795579,600091,Amazon purchase,Mobile Banking,13193.98,103.98.70.254,OnePlus 11,SB28728463,0,Normal,25.7,499,Priya Sharma,700001,1.0,0.402,11
2025-06-03 06:00:00,3B1CF901,Vijay Kumar,SB83197857,Salary,9331191390,600014,Insurance premium,ATM Withdrawal,37190.93,103.143.57.176,Desktop-Firefox,SB77827638,0,Normal,5.2,630,Priya Sharma,560001,2.0,0.383,13
2025-06-03 07:02:00,B19E5ECF,Rahul Gupta,SB42868828,Salary,9553778756,601302,Grocery payment,Online Transfer,12122.6,103.143.57.176,Redmi Note 12,SB14265799,0,Normal,16.3,927,Sneha Nair,560001,1.0,0.303,13
2025-06-03 13:16:00,DC5BB251,Deepa Krishnan,SB39958838,Joint,9465341213,600002,Grocery payment,NEFT,24841.45,103.84.216.197,iPhone 14,SB42868828,0,Normal,8.7,697,Karan Malhotra,560001,1.0,0.177,7
2025-06-03 14:08:00,427E78DC,Vijay Kumar,SB83197857,Joint,9331191390,602001,Grocery payment,Mobile Banking,3646.12,103.63.42.119,Laptop-Chrome,SB41227216,0,Normal,19.8,630,Priya Sharma,110001,1.0,0.447,10
2025-06-03 16:43:00,72708236,Madhavi Latha,SB89089901,Savings,9692749116,600001,Medical expense,Mobile Banking,17295.48,103.12.170.59,OnePlus 11,SB28728463,0,Normal,9.8,465,Priya Sharma,700001,1.0,0.25,7
2025-06-03 19:04:00,7FB387A6,Saranya Venkat,SB39587039,Joint,9506448196,600091,Petrol expense,Net Banking,37619.95,103.21.219.60,iPhone 14,SB42868828,0,Normal,26.2,546,Karan Malhotra,560001,1.0,0.185,6
