timestamp,txn_id,name,account_number,account_type,mobile_number,pincode,narration,trans_type,amount,ip_address,device,receiver_account,is_fraud,fraud_type,risk_score,account_age_days,receiver_name,receiver_pincode,velocity_l6h,churn_rate,ip_account_density
2025-06-02 00:05:00,B514A161,Vinoth Kumar,SB70291817,Current,9184611066,600014,Medical expense,NEFT,24327.24,103.19.156.163,iPhone 13,SB39958838,0,Normal,12.6,986.0,Karan Malhotra,603202,2.0,0.214,14
2025-06-02 05:39:00,7554A0F7,Vinoth Kumar,SB70291817,Current,9184611066,600028,Electricity bill,NEFT,33638.21,103.84.216.197,Redmi Note 12,SB22575562,0,Normal,21.6,774.0,Anjali Gupta,110001,1.0,0.411,5
2025-06-02 12:58:00,67962848,Jaya Devi,SB77827638,Joint,9748245888,110001,Subscription fee,Mobile Banking,1841.55,103.44.137.187,Samsung S23,SB89089901,0,Normal,14.9,79.0,Sneha Nair,600091,1.0,0.282,8
2025-06-02 13:07:00,22651BAB,Manoj Patel,SB89254563,Salary,9461415646,600014,Subscription fee,UPI Payment,2393.73,103.199.15.59,Laptop-Chrome,SB66629388,0,Normal,22.4,334.0,Vikram Rathore,400001,1.0,0.254,12
2025-06-02 17:51:00,194A7366,Vinoth Kumar,SB70291817,Salary,9184611066,600096,Insurance premium,Online Transfer,10943.65,103.84.216.197,Vivo V25,SB28728463,0,Normal,20.4,414.0,Arun Singh,560001,1.0,0.206,6
2025-06-02 23:58:00,854F089C,Madhavi Latha,SB89089901,Current,9692749116,600096,Electricity bill,Online Transfer,49860.0,103.19.156.163,Desktop-Firefox,SB39958838,0,Normal,28.2,963.0,Karan Malhotra,603202,1.0,0.104,12
2025-06-03 01:57:00,7F3BDFB0,Prakash Doss,SB47338124,Salary,9414797776,600028,Rent payment,Mobile Banking,5588.28,103.143.57.176,Laptop-Chrome,SB13561597,0,Normal,23.0,928.0,Anjali Gupta,602001,1.0,0.49,15
2025-06-03 08:30:00,5CAEFF84,Anitha Reddy,SB23756669,Salary,9266944844,600096,Electricity bill,ATM Withdrawal,46592.42,103.221.93.148,Tablet-Android,SB39587039,0,Normal,27.6,748.0,Sneha Nair,600028,2.0,0.199,14
2025-06-03 10:02:00,0307AB9F,Harish Naidu,SB66306997,Savings,9234031070,700001,Amazon purchase,Online Transfer,6649.74,103.21.219.60,Desktop-Firefox,SB22575562,0,Normal,2.0,959.0,Anjali Gupta,682001,1.0,0.453,7
2025-06-03 17:00:00,A3B18236,Nithya Chandran,SB13561597,Current,9966647391,600040,Rent payment,Net Banking,7293.12,103.214.94.42,OnePlus 11,SB89254563,0,Normal,5.4,512.0,Sneha Nair,600014,1.0,0.252,14
2025-06-03 17:31:00,EB9DF86B,Rekha Singh,SB66629388,NRI,9209747451,600014,Loan EMI,ATM Withdrawal,13128.25,103.12.170.59,ATM Terminal,SB36687537,0,Normal,22.2,252.0,Vikram Rathore,600001,1.0,0.443,3
2025-06-03 19:32:00,1D72630E,Deepa Krishnan,SB39958838,Savings,9465341213,602001,Electricity bill,Online Transfer,29954.24,103.72.117.163,Laptop-Chrome,SB46913810,0,Normal,28.4,583.0,Vikram Rathore,110001,1.0,0.348,9
2025-06-04 00:13:00,B7434A4B,Sindhu Rao,SB13999315,Joint,9507943839,600096,Subscription fee,Mobile Banking,1466.83,103.84.216.197,Laptop-Chrome,SB39345092,0,Normal,2.2,371.0,Sneha Nair,602001,2.0,0.315,14
2025-06-04 01:50:00,43643B0F,Rekha Singh,SB66629388,NRI,9209747451,600096,Rent payment,NEFT,41329.96,103.98.70.254,OnePlus 11,SB89254563,0,Normal,25.2,358.0,Vikram Rathore,600014,2.0,0.415,13
2025-06-04 09:33:00,CC5753E2,Nithya Chandran,SB13561597,Savings,9966647391,600091,Loan EMI,ATM Withdrawal,19648.49,103.84.216.197,Laptop-Chrome,SB66629388,0,Normal,17.3,198.0,Sneha Nair,601302,1.0,0.107,4
2025-06-04 13:42:00,7434BED3,Priya Nair,SB24942603,Joint,9965241839,600091,Petrol expense,Net Banking,37619.95,103.21.219.60,iPhone 13,SB42868828,0,Normal,25.8,688.0,Sneha Nair,600001,1.0,0.127,15
2025-06-05 04:46:00,79E79638,Arun Menon,SB14265799,Savings,9199585092,600002,Loan EMI,UPI Payment,44108.96,103.198.75.253,Laptop-Chrome,SB66306997,0,Normal,24.8,878.0,Arun Singh,700001,1.0,0.127,12
2025-06-05 08:25:00,558C627A,Prakash Doss,SB47338124,NRI,9414797776,682001,Insurance premium,Mobile Banking,46848.64,103.240.175.166,Desktop-Firefox,SB39345092,0,Normal,11.2,32.0,Arun Singh,600002,2.0,0.354,14
2025-06-05 10:57:00,EFF52E42,Ganesh Murugan,SB90801586,NRI,9384027113,603202,Monthly salary credit,ATM Withdrawal,10965.14,103.84.216.197,Desktop-Firefox,SB83197857,0,Normal,3.3,102.0,Karan Malhotra,603202,1.0,0.172,8
2025-06-05 14:00:00,MULE0001,Arjun Sharma,SB95822412,Savings,9914763202,600001,Transfer to wallet,Online Transfer,50000.0,103.161.159.227,iPhone 14,SB24942603,1,Mule Chain,85.0,224.0,Priya Nair,600001,1.0,0.943,11
2025-06-05 14:00:50,MULE0002,Priya Nair,SB24942603,Savings,9965241839,600001,Quick fund move,Online Transfer,48000.0,103.161.159.227,iPhone 14,SB13356886,1,Mule Chain,88.0,304.0,Karthik Rajan,600001,1.0,0.963,11
2025-06-05 14:01:40,MULE0003,Karthik Rajan,SB13356886,Savings,9271432881,600001,Urgent cash out,ATM Withdrawal,46000.0,103.161.159.227,iPhone 14,SB46913810,1,Mule Chain,91.0,896.0,ATM,600001,1.0,0.983,11
2025-06-05 22:59:00,7FEACA59,Nithya Chandran,SB13561597,Salary,9966647391,600040,Amazon purchase,Mobile Banking,27393.37,103.98.70.254,Samsung S23,SB89089901,0,Normal,16.1,295.0,Priya Sharma,600091,1.0,0.392,13
2025-06-05 23:37:00,4BF0381D,Lakshmi Iyer,SB21668732,Savings,9919795579,603202,Insurance premium,IMPS,34028.69,103.19.156.163,Laptop-Chrome,SB97226012,0,Normal,7.6,604.0,Arun Singh,600028,1.0,0.379,7
2025-06-06 05:16:00,10143B37,Balaji Natarajan,SB22575562,Joint,9203848421,400001,Loan EMI,IMPS,19737.64,103.19.156.163,ATM Terminal,SB46913810,0,Normal,11.7,850.0,Vikram Rathore,600014,2.0,0.467,12
2025-06-06 06:25:00,A782DE14,Lakshmi Iyer,SB21668732,Savings,9919795579,600091,Electricity bill,Net Banking,47406.91,103.63.42.119,Vivo V25,SB13356886,0,Normal,14.2,133.0,Sneha Nair,110001,2.0,0.31,9
2025-06-06 09:47:00,7935DB4D,Saranya Venkat,SB83140807,Joint,9675770529,603202,Rent payment,Mobile Banking,30417.88,103.222.26.98,Laptop-Chrome,SB10872248,0,Normal,8.7,342.0,Karan Malhotra,600096,2.0,0.313,8
2025-06-06 14:08:00,1BFB0ABD,Suresh Babu,SB28728463,Savings,9398362082,560001,Electricity bill,Mobile Banking,22533.0,103.50.181.18,Vivo V25,SB36687537,0,Normal,11.7,93.0,Vikram Rathore,600040,2.0,0.441,14
2025-06-07 09:48:00,D3ED9244,Karthik Rajan,SB13356886,Current,9271432881,602001,Medical expense,Net Banking,40327.09,103.240.175.166,iPhone 14,SB39587039,0,Normal,13.0,287.0,Priya Sharma,560001,2.0,0.369,13
2025-06-07 09:58:00,F8B1F4D7,Uma Shankar,SB36687537,Salary,9883543540,600040,Medical expense,ATM Withdrawal,29954.54,103.50.181.18,OnePlus 11,SB77827638,0,Normal,12.5,798.0,Anjali Gupta,700001,1.0,0.358,9
2025-06-07 10:30:00,SHDEV0001,Manoj Patel,SB89254563,Salary,9461415646,600040,Rapid transfer,Mobile Banking,32000.0,103.221.93.148,Samsung S23,SB85329037,1,Shared Device,78.0,547.0,Karan Malhotra,600002,1.0,0.913,14
2025-06-07 10:32:00,SHDEV0002,Rekha Singh,SB66629388,Savings,9209747451,600040,Rapid transfer,Mobile Banking,28000.0,103.221.93.148,Samsung S23,SB36687537,1,Shared Device,80.0,699.0,Vikram Rathore,600002,1.0,0.928,14
2025-06-07 10:34:00,SHDEV0003,Arun Menon,SB14265799,Joint,9199585092,600040,Rapid transfer,Mobile Banking,35000.0,103.221.93.148,Samsung S23,SB97226012,1,Shared Device,82.0,843.0,Priya Sharma,600002,1.0,0.943,14
2025-06-07 10:36:00,SHDEV0004,Sindhu Rao,SB13999315,Salary,9507943839,600040,Rapid transfer,Mobile Banking,18000.0,103.221.93.148,Samsung S23,SB83140807,1,Shared Device,84.0,504.0,Anjali Gupta,600002,1.0,0.958,14
2025-06-07 10:38:00,SHDEV0005,Balaji Natarajan,SB22575562,Salary,9203848421,600040,Rapid transfer,Mobile Banking,22000.0,103.221.93.148,Samsung S23,SB66306997,1,Shared Device,86.0,45.0,Vikram Rathore,600002,2.0,0.973,14
2025-06-07 14:15:00,ED41AE5C,Sindhu Rao,SB13999315,NRI,9507943839,600096,Subscription fee,Mobile Banking,39729.71,103.21.219.60,Samsung S23,SB13356886,0,Normal,19.1,401.0,Arun Singh,600028,2.0,0.465,5
2025-06-07 14:45:00,AA808E79,Anitha Reddy,SB23756669,Salary,9266944844,602001,Rent payment,Net Banking,42256.01,103.19.156.163,Desktop-Firefox,SB42868828,0,Normal,18.2,291.0,Sneha Nair,600096,2.0,0.13,15
2025-06-07 17:15:00,C6D359E7,Ramesh Verma,SB41227216,Current,9469319644,110001,Petrol expense,UPI Payment,40853.11,103.214.94.42,Laptop-Chrome,SB13356886,0,Normal,12.4,424.0,Vikram Rathore,600028,1.0,0.22,4
2025-06-07 19:03:00,1A8CBC8F,Ramesh Verma,SB41227216,Joint,9469319644,600002,Loan EMI,Mobile Banking,4674.29,103.21.219.60,iPhone 13,SB23756669,0,Normal,21.8,991.0,Vikram Rathore,400001,1.0,0.246,7
2025-06-07 19:28:00,2978BF2B,Manoj Patel,SB89254563,Savings,9461415646,560001,Amazon purchase,Mobile Banking,15489.61,103.214.94.42,ATM Terminal,SB24942603,0,Normal,11.9,102.0,Sneha Nair,560001,1.0,0.123,7
2025-06-07 21:29:00,1FFC0C89,Kavitha Srinivasan,SB39345092,NRI,9485451171,600091,Medical expense,Mobile Banking,27687.11,103.98.70.254,Tablet-Android,SB39587039,0,Normal,20.6,242.0,Anjali Gupta,700001,1.0,0.31,11
2025-06-08 01:00:00,1058D52A,Karthik Rajan,SB13356886,Joint,9271432881,560001,Subscription fee,NEFT,14917.33,103.72.117.163,OnePlus 11,SB97226012,0,Normal,9.9,864.0,Priya Sharma,700001,1.0,0.47,15
2025-06-08 02:23:00,B8B20D0D,Manoj Patel,SB89254563,Salary,9461415646,682001,Loan EMI,Net Banking,47099.67,103.199.15.59,iPhone 14,SB47338124,0,Normal,3.5,183.0,Vikram Rathore,600001,1.0,0.209,13
2025-06-08 02:26:00,3554126A,Pooja Agarwal,SB10872248,Joint,9990566476,560001,Rent payment,Net Banking,48213.74,103.172.69.180,OnePlus 11,SB85329037,0,Normal,3.7,776.0,Arun Singh,110001,1.0,0.314,14
